hex_id,hex_area,canopykmsq,canopy_per,centroid_x,centroid_y
10631211,106088.115,6591.614,6.213,503871.3086,175625.7975
10641210,106088.08,18031.04,16.996,504174.41745,175450.7975
10641212,106088.08,36780.701,34.67,504174.41745,175800.7975
10641214,106088.08,7952.175,7.496,504174.41745,176150.7975
10641216,106088.08,23951.612,22.577,504174.41745,176500.7975
10641218,106088.08,5040.465,4.751,504174.41745,176850.7975
10641288,106088.08,29979.71,28.259,504174.41745,189100.7975
10641290,106088.08,2129.057,2.007,504174.41745,189450.7975
10641292,106088.08,2747.98,2.59,504174.41745,189800.7975
10641294,106088.08,26702.054,25.17,504174.41745,190150.7975
10641296,106088.08,32772.565,30.892,504174.41745,190500.7975
10641298,106088.08,30180.648,28.449,504174.41745,190850.7975
10641300,106088.08,61393.042,57.87,504174.41745,191200.7975
10641302,106088.08,59154.853,55.76,504174.41745,191550.7975
10641308,106088.08,26959.296,25.412,504174.41745,192600.7975
10641310,106088.08,37268.618,35.13,504174.41745,192950.7975
10641312,106088.08,34652.954,32.664,504174.41745,193300.7975
10651209,106088.115,11553.635,10.891,504477.5263,175275.7975
10651211,106088.115,28897.602,27.239,504477.5263,175625.7975
10651213,106088.115,13004.778,12.258,504477.5263,175975.7975
10651215,106088.115,7349.986,6.928,504477.5263,176325.7975
10651217,106088.115,19617.617,18.492,504477.5263,176675.7975
10651219,106088.115,14666.108,13.824,504477.5263,177025.7975
10651221,106088.115,24882.073,23.454,504477.5263,177375.7975
10651223,106088.115,26307.071,24.797,504477.5263,177725.7975
10651285,106088.115,41663.275,39.272,504477.5263,188575.7975
10651287,106088.115,29034.889,27.369,504477.5263,188925.7975
10651289,106088.115,36389.541,34.301,504477.5263,189275.7975
10651291,106088.115,17841.493,16.818,504477.5263,189625.7975
10651293,106088.115,35059.372,33.047,504477.5263,189975.7975
10651295,106088.115,22895.155,21.581,504477.5263,190325.7975
10651297,106088.115,15478.058,14.59,504477.5263,190675.7975
10651299,106088.115,39853.844,37.567,504477.5263,191025.7975
10651301,106088.115,80791.423,76.155,504477.5263,191375.7975
10651303,106088.115,25125.723,23.684,504477.5263,191725.7975
10651305,106088.115,11806.997,11.129,504477.5263,192075.7975
10651307,106088.115,26291.345,24.783,504477.5263,192425.7975
10651309,106088.115,56958.353,53.69,504477.5263,192775.7975
10651311,106088.115,60906.723,57.411,504477.5263,193125.7975
10651313,106088.115,24230.77,22.84,504477.5263,193475.7975
10661208,106088.115,10844.714,10.222,504780.6352,175100.7975
10661210,106088.115,11833.087,11.154,504780.6352,175450.7975
10661212,106088.115,6765.739,6.377,504780.6352,175800.7975
10661214,106088.115,260.625,0.246,504780.6352,176150.7975
10661216,106088.115,1029.697,0.971,504780.6352,176500.7975
10661218,106088.115,23826.488,22.459,504780.6352,176850.7975
10661220,106088.115,18701.132,17.628,504780.6352,177200.7975
10661222,106088.115,41520.354,39.138,504780.6352,177550.7975
10661224,106088.115,39500.585,37.234,504780.6352,177900.7975
10661240,106088.115,82038.853,77.331,504780.6352,180700.7975
10661242,106088.115,57009.424,53.738,504780.6352,181050.7975
10661252,106088.115,14419.263,13.592,504780.6352,182800.7975
10661254,106088.115,4835.686,4.558,504780.6352,183150.7975
10661256,106088.115,22666.093,21.365,504780.6352,183500.7975
10661258,106088.115,17618.456,16.607,504780.6352,183850.7975
10661280,106088.115,61403.926,57.88,504780.6352,187700.7975
10661282,106088.115,24518.491,23.111,504780.6352,188050.7975
10661284,106088.115,39852.984,37.566,504780.6352,188400.7975
10661286,106088.115,27814.44,26.218,504780.6352,188750.7975
10661288,106088.115,44967.84,42.387,504780.6352,189100.7975
10661290,106088.115,40118.818,37.817,504780.6352,189450.7975
10661292,106088.115,43216.756,40.737,504780.6352,189800.7975
10661294,106088.115,41141.028,38.78,504780.6352,190150.7975
10661296,106088.115,18853.816,17.772,504780.6352,190500.7975
10661298,106088.115,25818.085,24.336,504780.6352,190850.7975
10661300,106088.115,48759.101,45.961,504780.6352,191200.7975
10661302,106088.115,24234.815,22.844,504780.6352,191550.7975
10661304,106088.115,10482.9,9.881,504780.6352,191900.7975
10661306,106088.115,19885.552,18.744,504780.6352,192250.7975
10661308,106088.115,23605.907,22.251,504780.6352,192600.7975
10661310,106088.115,29840.028,28.128,504780.6352,192950.7975
10671207,106088.115,272.329,0.257,505083.7441,174925.7975
10671209,106088.115,0,0.0,505083.7441,175275.7975
10671211,106088.115,0,0.0,505083.7441,175625.7975
10671213,106088.115,0,0.0,505083.7441,175975.7975
10671215,106088.115,0,0.0,505083.7441,176325.7975
10671217,106088.115,3681.697,3.47,505083.7441,176675.7975
10671219,106088.115,29071.477,27.403,505083.7441,177025.7975
10671221,106088.115,14060.044,13.253,505083.7441,177375.7975
10671223,106088.115,38952.691,36.717,505083.7441,177725.7975
10671225,106088.115,33870.364,31.927,505083.7441,178075.7975
10671227,106088.115,37339.038,35.196,505083.7441,178425.7975
10671229,106088.115,43177.039,40.699,505083.7441,178775.7975
10671237,106088.115,51046.276,48.117,505083.7441,180175.7975
10671239,106088.115,76255.371,71.879,505083.7441,180525.7975
10671241,106088.115,51509.421,48.553,505083.7441,180875.7975
10671243,106088.115,43013.37,40.545,505083.7441,181225.7975
10671245,106088.115,40460.259,38.138,505083.7441,181575.7975
10671247,106088.115,45076.493,42.49,505083.7441,181925.7975
10671249,106088.115,30120.815,28.392,505083.7441,182275.7975
