,placeID,Lat,Long,Nights.active,Cat,Fox,trapping_rate_cat,trapping_rate_fox,distance
1,1,51.46563542,-0.24748,20,0,2,0,0.1,0.000547472
2,2,51.46563542,-0.24514,20,0,0,0,0,0.000453927
3,3,51.46563542,-0.24281,20,0,32,0,1.6,0.000394014
4,4,51.4671,-0.24514,20,0,7,0,0.35,0.000445338
5,5,51.46731,-0.24277,20,0,0,0,0,0.001928316
6,6,51.4671,-0.24048,20,0,11,0,0.55,0.001418089
7,7,51.4671,-0.23815,20,0,1,0,0.05,0.00092317
8,8,51.4671,-0.23582,20,0,2,0,0.1,0.000298731
9,9,51.4671,-0.23115,20,0,10,0,0.5,0.000385925
10,10,51.46751,-0.22891,20,9,13,0.45,0.65,0.000766186
11,11,51.46856,-0.24281,20,0,0,0,0,0.001162728
12,12,51.46856,-0.24048,20,0,0,0,0,0.002816755
13,13,51.46856,-0.23815,20,0,14,0,0.7,0.002311667
14,14,51.46856,-0.23582,4,0,1,0,0.25,0.001701365
15,15,51.46856,-0.23349,20,0,6,0,0.3,0.001084065
16,16,51.46856,-0.23225,14,3,15,0.214285714,1.071428571,0.001607606
17,17,51.4687,-0.23015,18,0,10,0,0.555555556,0.001968389
18,18,51.47002,-0.24281,20,2,9,0.1,0.45,0.000743206
19,19,51.46997,-0.24108,20,0,4,0,0.2,0.001404355
20,20,51.47002,-0.23815,20,1,10,0.05,0.5,0.001770434
21,21,51.47002,-0.23582,20,0,1,0,0.05,0.001924938
22,22,51.47002,-0.23349,20,0,2,0,0.1,0.002543355
23,23,51.46999,-0.23164,20,0,16,0,0.8,0.003089971
24,24,51.47002417,-0.22882,20,2,15,0.1,0.75,0.000774428
25,25,51.47148708,-0.24281,20,0,1,0,0.05,0.000195644
26,26,51.47148708,-0.24048,20,2,3,0.1,0.15,0.000126879
27,27,51.47148708,-0.23815,20,16,26,0.8,1.3,0.000309694
28,28,51.47148708,-0.23349,20,1,3,0.05,0.15,0.003141905
29,29,51.47148708,-0.23115,20,0,7,0,0.35,0.002637784
30,30,51.47148708,-0.22882,20,0,38,0,1.9,0.000694061
