placeID,Latitude ,Longitude ,Nights.active,Excluded?,Badger,Hedgehog,Cat,Deer,Dog,Fox,Horse,Mouse,Rabbit,Squirrel,Notes
1,51.40703,-0.33821,20,,0,2,0,9,0,34,0,0,0,0,"yes/no fields come from chris's data bc the values cant be used, so can only have presence/absence records thus the 'yes' or 'no's"
2,51.40705,-0.3366,3,,0,0,No,Yes,No,Yes,No,No,No,No,
3,51.40854,-0.34074,0,Y,,,,,,,,,,,
4,51.4084,-0.33887,24,,0,0,0,12,0,12,0,0,0,0,
5,51.40855,-0.33683,0,Y,,,,,,,,,,,
6,51.40994,-0.35038,24,,0,0,No,Yes,No,Yes,No,No,No,No,
7,51.40994,-0.34809,24,,0,0,0,11,0,1,0,0,0,0,
8,51.41007,-0.34588,24,,0,2,No,Yes,No,Yes,No,No,No,No,
9,51.40991,-0.3436,24,,0,0,No,Yes,No,Yes,No,No,No,No,
10,51.41003,-0.34119,24,,0,0,No,Yes,No,Yes,No,No,No,No,
11,51.40994,-0.33894,24,,0,0,No,Yes,Yes,Yes,No,No,No,No,
12,51.40994,-0.33665,24,,0,0,No,Yes,No,Yes,No,No,No,Yes,
13,51.40994,-0.33436,24,,0,0,No,Yes,Yes,Yes,No,No,No,No,
14,51.40994,-0.33207,24,,0,0,No,Yes,No,No,No,No,No,No,
15,51.40994,-0.32978,24,,0,0,No,Yes,No,Yes,No,No,No,No,
16,51.40994,-0.32749,3,,0,0,No,Yes,No,Yes,No,No,No,No,
17,51.40995,-0.3252,24,,0,0,No,Yes,Yes,Yes,No,No,No,No,
18,51.41141,-0.35496,24,,0,0,No,Yes,No,Yes,No,No,No,No,
19,51.41137,-0.35267,22,,0,0,No,Yes,No,Yes,No,No,No,No,
20,51.4112,-0.35044,24,,0,0,No,Yes,No,Yes,No,No,No,No,
21,51.41137,-0.34809,24,,0,0,No,Yes,No,Yes,No,No,No,No,
22,51.41132,-0.3437,24,,0,1,No,Yes,No,Yes,No,No,No,No,
23,51.41123,-0.34378,24,,0,0,No,Yes,No,Yes,No,No,No,No,
24,51.41137,-0.34123,24,,0,0,No,Yes,No,Yes,No,No,No,No,
25,51.41137,-0.33894,24,,0,0,No,Yes,No,Yes,No,No,Yes,No,
26,51.41137,-0.33665,24,,0,1,No,Yes,No,Yes,No,No,No,No,
27,51.41139,-0.33449,2,,0,0,No,Yes,No,Yes,No,No,No,No,
28,51.41137,-0.33207,8,,0,0,0,48,0,10,0,0,0,0,
29,51.41164,-0.32914,24,,0,0,0,7,0,4,0,0,0,0,
30,51.41201,-0.32795,24,,0,0,No,Yes,No,Yes,No,No,No,No,
31,51.41139,-0.32619,24,,0,0,0,5,0,13,0,0,329,0,
32,51.4126049,-0.3198589,24,,0,0,No,Yes,No,Yes,No,No,Yes,No,
33,51.41064,-0.32087,25,,0,1,No,Yes,No,Yes,No,No,No,No,
34,51.41267,-0.35435,24,,0,0,0,0,0,26,0,0,0,0,
35,51.41286,-0.35428,25,,0,0,0,0,0,28,3,0,77,0,
36,51.41295,-0.35326,24,,0,0,0,0,0,12,0,0,34,0,
37,51.41299,-0.3504,24,,0,0,No,No,No,Yes,No,No,No,No,
38,51.41284,-0.34835,24,,1,1,No,No,Yes,Yes,No,No,No,No,
39,51.41277,-0.34574,24,,0,3,0,0,0,15,0,0,10,0,
40,51.41286,-0.34317,24,,0,0,0,41,0,4,0,0,1,0,
41,51.4128,-0.34122,24,,0,0,No,Yes,No,Yes,No,No,Yes,No,
42,51.41267,-0.33906,24,,0,0,No,Yes,No,Yes,No,No,Yes,No,
43,51.4128,-0.33665,24,,0,0,No,Yes,Yes,Yes,No,No,Yes,No,
44,51.4128,-0.33436,24,,0,0,No,Yes,Yes,Yes,No,No,Yes,No,
45,51.41295,-0.33232,24,,0,1,No,Yes,No,Yes,No,No,No,No,
46,51.41285,-0.33031,10,,0,0,No,Yes,No,Yes,No,No,No,No,
47,51.41344,-0.32705,0,Y,,,,,,,,,,,
48,51.4128335,-0.3256284,24,,0,0,0,10,0,4,0,0,10,0,
