"","placeID","Lat","Long","Nights.active","Cat","Fox","trapping_rate_cat","trapping_rate_fox"
"1",1,51.40703,-0.33821,20,0,1,0,0.05
"2",2,51.40705,-0.3366,3,0,1,0,0.333333333333333
"3",4,51.4084,-0.33887,24,0,1,0,0.0416666666666667
"4",6,51.40994,-0.35038,24,0,1,0,0.0416666666666667
"5",7,51.40994,-0.34809,24,0,1,0,0.0416666666666667
"6",8,51.41007,-0.34588,24,0,1,0,0.0416666666666667
"7",9,51.40991,-0.3436,24,0,1,0,0.0416666666666667
"8",10,51.41003,-0.34119,24,0,1,0,0.0416666666666667
"9",11,51.40994,-0.33894,24,0,1,0,0.0416666666666667
"10",12,51.40994,-0.33665,24,0,1,0,0.0416666666666667
"11",13,51.40994,-0.33436,24,0,1,0,0.0416666666666667
"12",14,51.40994,-0.33207,24,0,0,0,0
"13",15,51.40994,-0.32978,24,0,1,0,0.0416666666666667
"14",16,51.40994,-0.32749,3,0,1,0,0.333333333333333
"15",17,51.40995,-0.3252,24,0,1,0,0.0416666666666667
"16",18,51.41141,-0.35496,24,0,1,0,0.0416666666666667
"17",19,51.41137,-0.35267,22,0,1,0,0.0454545454545455
"18",20,51.4112,-0.35044,24,0,1,0,0.0416666666666667
"19",21,51.41137,-0.34809,24,0,1,0,0.0416666666666667
"20",22,51.41132,-0.3437,24,0,1,0,0.0416666666666667
"21",23,51.41123,-0.34378,24,0,1,0,0.0416666666666667
"22",24,51.41137,-0.34123,24,0,1,0,0.0416666666666667
"23",25,51.41137,-0.33894,24,0,1,0,0.0416666666666667
"24",26,51.41137,-0.33665,24,0,1,0,0.0416666666666667
"25",27,51.41139,-0.33449,2,0,1,0,0.5
"26",28,51.41137,-0.33207,8,0,1,0,0.125
"27",29,51.41164,-0.32914,24,0,1,0,0.0416666666666667
"28",30,51.41201,-0.32795,24,0,1,0,0.0416666666666667
"29",31,51.41139,-0.32619,24,0,1,0,0.0416666666666667
"30",32,51.4126049,-0.3198589,24,0,1,0,0.0416666666666667
"31",33,51.41064,-0.32087,25,0,1,0,0.04
"32",34,51.41267,-0.35435,24,0,1,0,0.0416666666666667
"33",35,51.41286,-0.35428,25,0,1,0,0.04
"34",36,51.41295,-0.35326,24,0,1,0,0.0416666666666667
"35",37,51.41299,-0.3504,24,0,1,0,0.0416666666666667
"36",38,51.41284,-0.34835,24,0,1,0,0.0416666666666667
"37",39,51.41277,-0.34574,24,0,1,0,0.0416666666666667
"38",40,51.41286,-0.34317,24,0,1,0,0.0416666666666667
"39",41,51.4128,-0.34122,24,0,1,0,0.0416666666666667
"40",42,51.41267,-0.33906,24,0,1,0,0.0416666666666667
"41",43,51.4128,-0.33665,24,0,1,0,0.0416666666666667
"42",44,51.4128,-0.33436,24,0,1,0,0.0416666666666667
"43",45,51.41295,-0.33232,24,0,1,0,0.0416666666666667
"44",46,51.41285,-0.33031,10,0,1,0,0.1
"45",48,51.4128335,-0.3256284,24,0,1,0,0.0416666666666667
"46",49,51.41294,-0.32281,8,0,1,0,0.125
"47",50,51.41319,-0.31997,24,0,1,0,0.0416666666666667
"48",51,51.41286,-0.31874,24,0,1,0,0.0416666666666667
"49",52,51.41423,-0.35724,24,0,1,0,0.0416666666666667
"50",53,51.41423,-0.35496,25,0,1,0,0.04
"51",55,51.41428,-0.35019,24,0,1,0,0.0416666666666667
"52",56,51.41401,-0.34826,24,0,1,0,0.0416666666666667
"53",57,51.41423,-0.3458,4,0,1,0,0.25
"54",58,51.41456,-0.34388,24,0,1,0,0.0416666666666667
"55",60,51.4143,-0.33882,20,0,1,0,0.05
"56",61,51.41423,-0.33665,24,0,1,0,0.0416666666666667
"57",62,51.41423,-0.33436,23,0,1,0,0.0434782608695652
"58",63,51.41423,-0.33436,4,0,1,0,0.25
"59",64,51.41434,-0.32997,17,0,1,0,0.0588235294117647
"60",65,51.41424,-0.3278,24,0,1,0,0.0416666666666667
"61",66,51.4148627,-0.3267038,24,0,1,0,0.0416666666666667
"62",67,51.4148723,-0.3221547,24,0,1,0,0.0416666666666667
"63",68,51.4135976,-0.3196485,24,0,0,0,0
"64",69,51.4139459,-0.31844,24,0,1,0,0.0416666666666667
"65",70,51.41566,-0.35724,24,0,1,0,0.0416666666666667
"66",71,51.41577,-0.35479,11,0,1,0,0.0909090909090909
"67",72,51.41554,-0.3532,21,0,1,0,0.0476190476190476
"68",73,51.41561,-0.35068,21,0,1,0,0.0476190476190476
"69",74,51.41587,-0.3479,24,0,1,0,0.0416666666666667
"70",75,51.41566,-0.3458,24,0,1,0,0.0416666666666667
"71",76,51.41587,-0.34445,24,0,1,0,0.0416666666666667
"72",77,51.41564,-0.34108,24,0,1,0,0.0416666666666667
"73",78,51.41567,-0.33893,14,0,1,0,0.0714285714285714
"74",79,51.41568,-0.33637,27,0,1,0,0.037037037037037
"75",80,51.41566,-0.33436,24,0,1,0,0.0416666666666667
"76",81,51.41566,-0.33207,24,1,1,0.0416666666666667,0.0416666666666667
"77",82,51.41568,-0.33003,23,0,1,0,0.0434782608695652
"78",83,51.41576,-0.32746,24,0,1,0,0.0416666666666667
"79",84,51.41566,-0.32521,24,0,1,0,0.0416666666666667
"80",85,51.41576,-0.32311,24,0,1,0,0.0416666666666667
"81",86,51.41566,-0.32063,24,0,1,0,0.0416666666666667
"82",87,51.41719,-0.35449,24,0,1,0,0.0416666666666667
"83",88,51.41707,-0.35247,20,0,1,0,0.05
"84",89,51.41724,-0.35107,24,0,1,0,0.0416666666666667
"85",90,51.41706,-0.34802,24,0,1,0,0.0416666666666667
"86",91,51.41709,-0.3458,16,0,1,0,0.0625
"87",92,51.41763,-0.34396,24,0,1,0,0.0416666666666667
"88",93,51.41709,-0.34123,22,0,1,0,0.0454545454545455
"89",94,51.41712,-0.33896,24,0,0,0,0
"90",95,51.41731,-0.33771,27,0,1,0,0.037037037037037
"91",96,51.41703,-0.33407,24,0,1,0,0.0416666666666667
"92",97,51.41709,-0.33207,24,0,1,0,0.0416666666666667
"93",98,51.41709,-0.32978,24,0,1,0,0.0416666666666667
"94",99,51.41689,-0.32788,8,0,1,0,0.125
"95",101,51.41709,-0.32292,24,0,1,0,0.0416666666666667
"96",102,51.41709,-0.32063,24,0,1,0,0.0416666666666667
"97",104,51.41842,-0.35471,24,0,1,0,0.0416666666666667
"98",105,51.41885,-0.35278,21,0,0,0,0
"99",106,51.41849,-0.35139,24,0,1,0,0.0416666666666667
"100",107,51.41878,-0.34795,24,0,0,0,0
"101",108,51.41852,-0.3458,24,0,1,0,0.0416666666666667
"102",109,51.4185287,-0.343519,22,0,1,0,0.0454545454545455
"103",110,51.41852,-0.34123,24,0,1,0,0.0416666666666667
"104",111,51.4190005,-0.3389277,14,0,1,0,0.0714285714285714
"105",113,51.41852,-0.3343,24,0,1,0,0.0416666666666667
"106",114,51.41852,-0.33207,45,0,1,0,0.0222222222222222
"107",115,51.41852,-0.32978,24,0,1,0,0.0416666666666667
"108",116,51.4191253,-0.3285973,31,0,1,0,0.032258064516129
"109",117,51.41853,-0.32517,24,0,1,0,0.0416666666666667
"110",118,51.42091,-0.35471,24,0,1,0,0.0416666666666667
"111",119,51.42048,-0.35334,24,0,1,0,0.0416666666666667
"112",120,51.42056,-0.35147,2,0,1,0,0.5
"113",121,51.41976,-0.34827,19,0,1,0,0.0526315789473684
"114",122,51.41995,-0.3458,24,0,1,0,0.0416666666666667
"115",123,51.41983731,-0.341065,24,0,1,0,0.0416666666666667
"116",124,51.42008235,-0.33892084,24,0,0,0,0
"117",125,51.41995,-0.33436,24,0,1,0,0.0416666666666667
"118",126,51.41995,-0.33207,31,0,1,0,0.032258064516129
"119",127,51.41995,-0.32978,24,0,1,0,0.0416666666666667
"120",128,51.42133,-0.35542,25,0,1,0,0.04
"121",129,51.42115,-0.35244,6,0,1,0,0.166666666666667
"122",130,51.42138,-0.35038,22,0,0,0,0
"123",131,51.42138,-0.34809,24,0,0,0,0
"124",133,51.42094657,-0.34075487,24,0,1,0,0.0416666666666667
"125",134,51.42125242,-0.33899756,32,0,1,0,0.03125
"126",135,51.4239,-0.3574,24,0,1,0,0.0416666666666667
"127",136,51.42282,-0.35496,36,1,1,0.0277777777777778,0.0277777777777778
"128",137,51.423282,-0.351601,24,0,1,0,0.0416666666666667
"129",138,51.42285,-0.35095,24,0,1,0,0.0416666666666667
"130",139,51.42293,-0.3481,21,0,1,0,0.0476190476190476
"131",140,51.4233,-0.34561,24,0,1,0,0.0416666666666667
"132",141,51.42425,-0.35724,24,0,1,0,0.0416666666666667
"133",142,51.42425,-0.35496,24,0,1,0,0.0416666666666667
"134",143,51.42425,-0.35267,22,0,1,0,0.0454545454545455
"135",146,51.42425,-0.3458,24,0,1,0,0.0416666666666667
"136",148,51.42568,-0.35267,24,0,1,0,0.0416666666666667
"137",149,51.42534,-0.351,24,0,1,0,0.0416666666666667
"138",150,51.42593,-0.34813,21,0,1,0,0.0476190476190476
