"","placeID","Lat","Long","Nights.active","Cat","Fox","trapping_rate_cat","trapping_rate_fox"
"1",1,51.455958,-0.039941,13,0,83,0,6.38461538461539
"2",2,51.455535,-0.040109,13,0,85,0,6.53846153846154
"3",3,51.455187,-0.039985,13,0,31,0,2.38461538461538
"4",4,51.455201,-0.040775,13,0,86,0,6.61538461538461
"5",5,51.454857,-0.040536,13,0,0,0,0
"6",6,51.43172688,-0.051606247,13,93,123,7.15384615384615,9.46153846153846
"7",7,51.432324,-0.052557,13,80,11,6.15384615384615,0.846153846153846
"8",8,51.431767,-0.05246,13,14,15,1.07692307692308,1.15384615384615
"9",9,51.445266,-0.050616,13,0,200,0,15.3846153846154
"10",10,51.4448,-0.050599,13,0,4,0,0.307692307692308
"11",11,51.444049,-0.05095,13,0,163,0,12.5384615384615
"12",12,51.445224,-0.049718,13,0,1,0,0.0769230769230769
"13",13,51.446147,-0.048896,13,0,17,0,1.30769230769231
"14",14,51.4465706,-0.0485736,13,2,15,0.153846153846154,1.15384615384615
"15",15,51.445725,-0.049483,13,3,13,0.230769230769231,1
"16",16,51.44544,-0.048456,13,0,2,0,0.153846153846154
"17",17,51.444724,-0.049224,13,0,9,0,0.692307692307692
"18",18,51.445979,-0.048333,13,0,53,0,4.07692307692308
"19",19,51.4466297,-0.0473618,13,4,12,0.307692307692308,0.923076923076923
"20",20,51.448107,-0.046468,13,0,21,0,1.61538461538462
"21",21,51.4475971,-0.0464867,13,30,23,2.30769230769231,1.76923076923077
"22",22,51.4471134,-0.0474697,13,0,5,0,0.384615384615385
"23",23,51.468844,-0.038717,13,0,92,0,7.07692307692308
"24",24,51.46948,-0.038402,13,0,70,0,5.38461538461539
"25",25,51.469927,-0.038391,13,0,69,0,5.30769230769231
"26",26,51.469333,-0.039178,13,1,103,0.0769230769230769,7.92307692307692
"27",27,51.4709291,-0.03952,13,0,77,0,5.92307692307692
"28",28,51.472032,-0.039087,13,3,160,0.230769230769231,12.3076923076923
"29",29,51.471539,-0.038934,13,0,88,0,6.76923076923077
"30",30,51.4707327,-0.038627,13,0,2,0,0.153846153846154
