"","placeID","Lat","Long","Nights.active","Cat","Fox","trapping_rate_cat","trapping_rate_fox"
"1",3,51.5567652,-0.1594981,28,0,18,0,0.642857142857143
"2",4,51.5569361,-0.1570352,21,0,7,0,0.333333333333333
"3",5,51.5570779,-0.1540721,26,0,56,0,2.15384615384615
"4",6,51.5566076,-0.1520853,3,0,1,0,0.333333333333333
"5",7,51.5568577,-0.1505947,16,26,46,1.625,2.875
"6",8,51.55821574,-0.169554095,21,0,7,0,0.333333333333333
"7",9,51.5587886,-0.1677625,18,0,69,0,3.83333333333333
"8",12,51.55907,-0.156764,12,0,25,0,2.08333333333333
"9",13,51.558603,-0.154504,21,1,88,0.0476190476190476,4.19047619047619
"10",14,51.55821574,-0.152608304,36,43,104,1.19444444444444,2.88888888888889
"11",15,51.5590329,-0.1695786,21,0,31,0,1.47619047619048
"12",17,51.5596121,-0.165205,21,0,27,0,1.28571428571429
"13",18,51.5597,-0.1633,21,4,39,0.19047619047619,1.85714285714286
"14",19,51.5598,-0.1612,21,2,25,0.0952380952380952,1.19047619047619
"15",20,51.5593975,-0.1583962,14,0,55,0,3.92857142857143
"16",21,51.5596651,-0.1562913,21,0,16,0,0.761904761904762
"17",22,51.55953206,-0.154726527,22,1,9,0.0454545454545455,0.409090909090909
"18",23,51.55953206,-0.152608304,21,4,23,0.19047619047619,1.0952380952381
"19",24,51.5596096,-0.1503211,21,2,32,0.0952380952380952,1.52380952380952
"20",25,51.5596096,-0.1503211,32,0,37,0,1.15625
"21",26,51.56084837,-0.173790542,21,0,17,0,0.80952380952381
"22",27,51.56084,-0.17167,14,0,41,0,2.92857142857143
"23",28,51.561,-0.169,21,0,21,0,1
"24",29,51.56084837,-0.167435871,21,0,11,0,0.523809523809524
"25",30,51.56084837,-0.165317647,21,2,19,0.0952380952380952,0.904761904761905
"26",32,51.5608,-0.1607,13,1,52,0.0769230769230769,4
"27",34,51.5605812,-0.1571999,20,0,13,0,0.65
"28",36,51.5606483,-0.1531018,21,0,17,0,0.80952380952381
"29",37,51.5610435,-0.1507181,21,0,10,0,0.476190476190476
"30",38,51.56216468,-0.184381661,15,0,34,0,2.26666666666667
"31",39,51.56216468,-0.182263438,21,0,9,0,0.428571428571429
"32",40,51.56216468,-0.180145214,21,0,9,0,0.428571428571429
"33",41,51.56216468,-0.173790542,21,0,15,0,0.714285714285714
"34",42,51.56216468,-0.171672318,21,0,20,0,0.952380952380952
"35",43,51.56216468,-0.169554095,21,0,24,0,1.14285714285714
"36",45,51.56216468,-0.163199423,21,0,26,0,1.23809523809524
"37",46,51.5632,-0.1614,15,0,16,0,1.06666666666667
