"","placeID","Lat","Long","Nights.active","Cat","Fox","trapping_rate_cat","trapping_rate_fox"
"1",13,51.426692,-0.391616,14,0,38,0,2.71428571428571
"2",14,51.426492,-0.391081,14,0,1,0,0.0714285714285714
"3",15,51.426195,-0.390401,14,2,13,0.142857142857143,0.928571428571429
"4",16,51.425304,-0.389274,14,0,2,0,0.142857142857143
"5",17,51.424928,-0.388122,14,1,51,0.0714285714285714,3.64285714285714
"6",18,51.423894,-0.38883,14,6,50,0.428571428571429,3.57142857142857
"7",19,51.424066,-0.390086,14,1,30,0.0714285714285714,2.14285714285714
"8",20,51.42399,-0.391985,14,1,4,0.0714285714285714,0.285714285714286
"9",21,51.42467,-0.394925,14,0,1,0,0.0714285714285714
"10",22,51.42551,-0.395681,14,0,24,0,1.71428571428571
"11",23,51.426216,-0.395945,14,0,10,0,0.714285714285714
"12",24,51.42723,-0.395522,14,1,89,0.0714285714285714,6.35714285714286
"13",25,51.427163,-0.394682,14,0,47,0,3.35714285714286
